"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"395";796;"S";"Rooibos tea";1,911;2,277;0,366;1,117;"Fortier";"9";"Conventionel";"N-6-1-1";45;2;44,191;1,1311;0,049;0,91329875;NA;NA;NA;0,49361347;0,012634387;0,00054733;0,00596644605745636;0,41968528;0,00683678092790773;"45_2_9"
"396";797;"S";"Rooibos tea";1,92;2,283;0,364;1,243;"Fortier";"9";"Conventionel";"N-6-1-1";60;2;46,479;1,0038;0,0416;0,9176;NA;NA;NA;0,57773397;0,012477234;0,000517088;0,00483108192790129;0,33986603;0,00514053402900307;"60_2_9"
"397";798;"S";"Rooibos tea";1,92;2,282;0,362;1,286;"Fortier";"9";"Conventionel";"N-6-1-1";60;2;42,541;0,94562;0,0276;0,9176;NA;NA;NA;0,54707726;0,0121606732;0,000354936;0,00445320622471403;0,37052274;0,00574635033580699;"60_2_9"
"398";1;"N";"Cranberry litter";1,886;2,25;0,364;1,882;"Belanger";"A9";"Biologique";"N-6-1-1";60;2;49,063;0,68647;0,0386;0,94362238;NA;NA;NA;0,92336566;0,0129193654;0,000726452;2,35904783119763e-05;0,0202567199999999;0,000241119379983415;"60_2_A9"
"399";2;"N";"Cranberry litter";1,928;2,288;0,358;1,873;"Belanger";"A9";"Biologique";"N-6-1-1";60;2;48,953;0,73003;0,0319;0,96463624;NA;NA;NA;0,91688969;0,0136734619;0,000597487;0,000321575252515582;0,0477465500000001;0,000564043403602307;"60_2_A9"
"400";3;"N";"Cranberry litter";1,882;2,238;0,356;1,477;"Belanger";"A9";"Biologique";"N-6-1-1";45;2;46,902;0,66729;0,0292;0,94162106;NA;NA;NA;0,69274254;0,0098558733;0,000431284;0,00269246708459939;0,24887852;0,00341049452079586;"45_2_A9"
"401";4;"N";"Cranberry litter";1,91;2,266;0,354;1,907;"Belanger";"A9";"Biologique";"N-6-1-1";45;2;49,316;0,70503;0,0376;0,9556303;NA;NA;NA;0,94045612;0,0134449221;0,000717032;1,74657271139599e-05;0,01517418;0,000177845901754232;"45_2_A9"
"402";5;"N";"Cranberry litter";1,897;2,26;0,362;1,917;"Belanger";"A9";"Biologique";"N-6-1-1";30;2;48,922;0,80019;0,0403;0,94912601;NA;NA;NA;0,93783474;0,0153396423;0,000772551;-0,000116530812340337;0,01129127;0,000132975795062352;"30_2_A9"
"403";6;"N";"Cranberry litter";1,93;2,289;0,358;1,966;"Belanger";"A9";"Biologique";"N-6-1-1";30;2;48,652;0,66524;0,0304;0,9656369;NA;NA;NA;0,95649832;0,0130786184;0,000597664;-0,000205344653424229;0,00913858000000001;0,00010565390177289;"30_2_A9"
"404";7;"N";"Cranberry litter";1,886;2,248;0,365;2,037;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;44,401;0,71274;0,0369;0,94362238;NA;NA;NA;0,90444837;0,0145185138;0,000751653;-0,0008557772559267;0,0391740099999999;0,000471120477593935;"0_1_A9"
"405";8;"N";"Cranberry litter";1,915;2,279;0,364;1,907;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;49,096;0,71969;0,03;0,95813195;NA;NA;NA;0,93626072;0,0137244883;0,0005721;4,65144001591919e-05;0,02187123;0,00025657242946069;"0_1_A9"
"406";9;"N";"Cranberry litter";1,88;2,244;0,363;1,807;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;48,697;0,70311;0,0325;0,9406204;NA;NA;NA;0,87995479;0,0127051977;0,000587275;0,000440041835908515;0,06066561;0,000740768071192473;"0_1_A9"
"407";10;"N";"Cranberry litter";1,917;2,276;0,367;1,947;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;49,624;0,68393;0,0357;0,95913261;NA;NA;NA;0,96617928;0,0133161171;0,000695079;-0,000172536248072835;-0,00704667000000003;-8,13340252604542e-05;"0_2_A9"
"408";11;"N";"Cranberry litter";1,908;2,265;0,358;1,688;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;48,927;0,71022;0,0313;0,95462964;NA;NA;NA;0,82588776;0,0119885136;0,000528344;0,00136123529835922;0,12874188;0,00160960636925966;"0_2_A9"
"409";12;"N";"Cranberry litter";1,899;2,26;0,36;1,898;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;46,55;0,72076;0,0364;0,95012667;NA;NA;NA;0,883519;0,0136800248;0,000690872;5,85257380458662e-06;0,0666076700000001;0,000807583507147416;"0_2_A9"
"410";13;"N";"Cranberry litter";1,915;2,274;0,359;1,833;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;45,787;0,62231;0,0276;0,95813195;NA;NA;NA;0,83927571;0,0114069423;0,000505908;0,000486262819722682;0,11885624;0,00147162481627314;"30_1_A9"
"411";14;"N";"Cranberry litter";1,92;2,279;0,357;1,987;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;46,03;0,70791;0,0434;0,9606336;NA;NA;NA;0,9146161;0,0140661717;0,000862358;-0,000381119750333218;0,0460174999999999;0,000545429470719898;"30_1_A9"
"412";15;"N";"Cranberry litter";1,905;2,27;0,364;1,918;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;49,3;0,70714;0,0346;0,95312865;NA;NA;NA;0,945574;0,0135629452;0,000663628;-7,55663098064683e-05;0,00755465000000011;8,84193199189352e-05;"30_1_A9"
"413";16;"N";"Cranberry litter";1,908;2,275;0,369;1,918;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;47,82;0,64509;0,0307;0,95462964;NA;NA;NA;0,9171876;0,0123728262;0,000588826;-5,80822603905748e-05;0,03744204;0,000444571358428891;"30_2_A9"
"414";17;"N";"Cranberry litter";1,921;2,282;0,361;1,951;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;48,468;0,67954;0,0297;0,96113393;NA;NA;NA;0,94561068;0,0132578254;0,000579447;-0,000172179753939495;0,01552325;0,000180920261112222;"30_2_A9"
"415";18;"N";"Cranberry litter";1,896;2,262;0,366;1,944;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;48,462;0,69446;0,0349;0,94862568;NA;NA;NA;0,94210128;0,0135003024;0,000678456;-0,000277792246726858;0,0065244000000001;7,66833314477692e-05;"30_2_A9"
"416";19;"N";"Cranberry litter";1,917;2,275;0,358;2,004;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;45,975;1,8559;0,0896;0,95913261;NA;NA;NA;0,921339;0,037192236;0,001795584;-0,000493152435101232;0,03779361;0,000446681089715944;"60_1_A9"
"417";20;"N";"Cranberry litter";1,918;2,283;0,365;1,953;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;49,211;0,75332;0,0353;0,95963294;NA;NA;NA;0,96109083;0,0147123396;0,000689409;-0,000200929727036617;-0,00145788999999996;-1,68673717081558e-05;"60_1_A9"
"418";21;"N";"Cranberry litter";1,911;2,276;0,365;1,914;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;48,723;0,736;0,0348;0,95613063;NA;NA;NA;0,93255822;0,01408704;0,000666072;-1,7429197473627e-05;0,02357241;0,00027736624545254;"60_1_A9"
"419";22;"N";"Cranberry litter";1,899;2,263;0,364;1,389;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;48,299;0,7157;0,034;0,95012667;NA;NA;NA;0,67087311;0,009941073;0,00047226;0,00347492631175491;0,27925356;0,00386683665857136;"60_2_A9"
"420";23;"N";"Cranberry litter";1,89;2,248;0,358;1,44;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;48,98;0,71359;0,0324;0,9456237;NA;NA;NA;0,705312;0,010275696;0,00046656;0,00302148572759602;0,2403117;0,00325782724092834;"60_2_A9"
"421";24;"N";"Cranberry litter";1,888;2,248;0,36;NA;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;NA;NA;NA;0,94462304;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_2_A9"
"422";25;"N";"Cranberry litter";1,912;2,273;0,36;1,883;"Belanger";"A9";"Biologique";"N-8-0-0";45;1;48,805;0,73177;0,0297;0,95663096;NA;NA;NA;0,91899815;0,0137792291;0,000559251;0,000169817388379935;0,03763281;0,000445928733902182;"45_1_A9"
"423";26;"N";"Cranberry litter";1,883;2,245;0,362;1,803;"Belanger";"A9";"Biologique";"N-8-0-0";45;1;44,703;0,71701;0,0336;0,94212139;NA;NA;NA;0,80599509;0,0129276903;0,000605808;0,00048238117170928;0,1361263;0,00173396088573703;"45_1_A9"
"424";27;"N";"Cranberry litter";1,902;2,26;0,358;1,883;"Belanger";"A9";"Biologique";"N-8-0-0";45;1;47,862;0,67527;0,0396;0,95162766;NA;NA;NA;0,90124146;0,0127153341;0,000745668;0,00011155238275759;0,0503861999999999;0,00060445146683407;"45_1_A9"
"425";28;"N";"Cranberry litter";1,906;2,266;0,36;1,871;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;49,136;0,73081;0,0327;0,95362898;NA;NA;NA;0,91933456;0,0136734551;0,000611817;0,000205930643778419;0,0342944199999999;0,00040693979961691;"45_2_A9"
"426";29;"N";"Cranberry litter";1,922;2,285;0,365;1,898;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;49,434;0,68146;0,0303;0,96163426;NA;NA;NA;0,93825732;0,0129341108;0,000575094;0,00013961789289294;0,0233769400000001;0,000273443905808749;"45_2_A9"
"427";30;"N";"Cranberry litter";1,934;2,294;0,361;1,976;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;48,038;0,73257;0,0338;0,96763822;NA;NA;NA;0,94923088;0,0144755832;0,000667888;-0,000238713358828595;0,0184073400000001;0,000213402456195163;"45_2_A9"
"428";31;"N";"Cranberry litter";1,896;2,259;0,364;1,913;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;49,246;0,72778;0,0332;0,94862568;NA;NA;NA;0,94207598;0,0139224314;0,000635116;-9,91809625031748e-05;0,00654969999999999;7,698172281157e-05;"15_1_A9"
"429";32;"N";"Cranberry litter";1,897;2,258;0,361;1,892;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;48,503;0,68911;0,032;0,94912601;NA;NA;NA;0,91767676;0,0130379612;0,00060544;2,93246702576742e-05;0,03144925;0,000374403959406264;"15_1_A9"
"430";33;"N";"Cranberry litter";1,918;2,282;0,363;1,953;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;48,135;0,73935;0,035;0,95963294;NA;NA;NA;0,94007655;0,0144395055;0,00068355;-0,000200929727036617;0,01955639;0,000228772767341171;"15_1_A9"
"431";34;"N";"Cranberry litter";1,911;2,267;0,358;1,7;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;47,516;0,68535;0,0302;0,95613063;NA;NA;NA;0,807772;0,01165095;0,0005134;0,00129998237995517;0,14835863;0,00187349672769559;"15_2_A9"
"432";35;"N";"Cranberry litter";1,904;2,266;0,362;1,899;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;49,47;0,69319;0,0261;0,95262832;NA;NA;NA;0,9394353;0,0131636781;0,000495639;2,92167171002748e-05;0,01319302;0,000154954078037091;"15_2_A9"
"433";36;"N";"Cranberry litter";1,907;2,262;0,356;1,916;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;48,928;0,67561;0,0266;0,95412931;NA;NA;NA;0,93746048;0,0129446876;0,000509656;-5,23150325598517e-05;0,0166688300000001;0,000195828944965468;"15_2_A9"
"434";187;"N";"Cranberry litter";1,937;2,297;0,361;1,886;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;48,901;0,69645;0,0273;0,96913921;NA;NA;NA;0,92227286;0,013135047;0,000514878;0,000296468891262146;0,0468663499999999;0,000550746019644923;"68.71_NA_A9"
"435";188;"N";"Cranberry litter";1,898;2,248;0,35;1,671;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;45,327;0,70186;0,0646;0,94962634;NA;NA;NA;0,75741417;0,0117280806;0,001079466;0,00141531611749422;0,19221217;0,00251287063191774;"68.71_NA_A9"
"436";189;"N";"Cranberry litter";1,915;2,275;0,36;1,898;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;48,834;0,74595;0,0366;0,95813195;NA;NA;NA;0,92686932;0,014158131;0,000694668;9,90769160541475e-05;0,03126263;0,000368587984398272;"68.71_NA_A9"
"437";190;"N";"Cranberry litter";1,892;2,256;0,363;1,87;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,26;0,72471;0,041;0,94662436;NA;NA;NA;0,921162;0,013552077;0,0007667;0,000129955997368791;0,02546236;0,000302960386608112;"68.71_NA_A9"
"438";191;"N";"Cranberry litter";1,92;2,282;0,362;0,911;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;47,265;0,70995;0,0423;0,9606336;NA;NA;NA;0,43058415;0,0064676445;0,000385353;0,00828375075290965;0,53004945;0,00891611435120502;"68.71_NA_A9"
"439";192;"N";"Cranberry litter";1,908;2,271;0,363;1,528;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;44,961;0,67314;0,0337;0,95462964;NA;NA;NA;0,68700408;0,0102855792;0,000514936;0,00246773202535295;0,26762556;0,00365536914083031;"68.71_NA_A9"
"440";193;"N";"Cranberry litter";1,921;2,286;0,365;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;NA;NA;NA;0,96113393;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_NA_A9"
"441";194;"N";"Cranberry litter";1,887;2,25;0,362;1,877;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;48,373;0,69961;0,033;0,94412271;NA;NA;NA;0,90796121;0,0131316797;0,00061941;5,90389864671268e-05;0,0361615000000001;0,000433938774221666;"68.71_NA_A9"
"442";195;"N";"Cranberry litter";1,934;2,298;0,364;1,924;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,333;0,71587;0,0289;0,96763822;NA;NA;NA;0,94916692;0,0137733388;0,000556036;5,76004976398649e-05;0,0184713;0,000214151157723298;"68.71_NA_A9"
"443";196;"N";"Cranberry litter";1,906;2,264;0,356;1,919;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,775;0,69528;0,0283;0,95362898;NA;NA;NA;0,95518225;0,0133424232;0,000543077;-7,55267977061387e-05;-0,00155327000000005;-1,80830446653539e-05;"68.71_NA_A9"
"444";197;"N";"Cranberry litter";1,898;2,257;0,359;1,899;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;48,877;0,70948;0,0345;0,94962634;NA;NA;NA;0,92817423;0,0134730252;0,000655155;-5,85257380458676e-06;0,0214521099999999;0,000253879087745613;"68.71_NA_A9"
"445";198;"N";"Cranberry litter";1,919;2,282;0,365;1,933;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,05;0,73922;0,0363;0,96013327;NA;NA;NA;0,9481365;0,0142891226;0,000701679;-8,07664800070108e-05;0,0119967700000001;0,000139706872354753;"68.71_NA_A9"
"446";199;"N";"Cranberry litter";1,918;2,271;0,354;1,684;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,707;0,64112;0,0482;0,95963294;NA;NA;NA;0,85390588;0,0107964608;0,000811688;0,0014456784515679;0,10572706;0,00129699866930156;"57.28_NA_10"
"447";200;"N";"Cranberry litter";1,887;2,239;0,352;1,924;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;40,771;0,53624;0,0361;0,94412271;NA;NA;NA;0,78443404;0,0103172576;0,000694564;-0,00021575650952335;0,15968867;0,00205881841663747;"57.28_NA_10"
"448";201;"N";"Cranberry litter";1,906;2,267;0,36;1,872;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,675;0,6362;0,0404;0,95362898;NA;NA;NA;0,948636;0,011909664;0,000756288;0,000199993635295667;0,00499297999999992;5,83280284719657e-05;"57.28_NA_10"
"449";202;"N";"Cranberry litter";1,927;2,293;0,365;1,824;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,954;0,7085;0,048;0,96413591;NA;NA;NA;0,92940096;0,01292304;0,00087552;0,000610361086445441;0,0347349499999998;0,000407689117504373;"57.28_NA_10"
"450";203;"N";"Cranberry litter";1,92;2,279;0,359;1,873;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;51,19;0,75628;0,0518;0,9606336;NA;NA;NA;0,9587887;0,0141651244;0,000970214;0,000275375139752652;0,00184490000000004;2,13594425797497e-05;"57.28_NA_10"
"451";204;"N";"Cranberry litter";1,919;2,279;0,358;1,887;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,429;0,69281;0,0427;0,96013327;NA;NA;NA;0,95159523;0,0130733247;0,000805749;0,000186843895990552;0,00853803999999991;9,92481326404466e-05;"57.28_NA_10"
"452";205;"N";"Cranberry litter";1,883;2,244;0,361;1,839;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;49,196;0,74521;0,0609;0,94212139;NA;NA;NA;0,90471444;0,0137044119;0,001119951;0,000262714489475904;0,03740695;0,000450164137739977;"57.28_NA_10"
"453";206;"N";"Cranberry litter";1,934;2,297;0,361;1,89;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,348;0,73262;0,046;0,96763822;NA;NA;NA;0,9515772;0,013846518;0,0008694;0,000255706310661684;0,01606102;0,000185971769491374;"57.28_NA_10"
"454";207;"N";"Cranberry litter";1,929;2,291;0,362;1,901;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;49,552;0,67603;0,0468;0,96513657;NA;NA;NA;0,94198352;0,0128513303;0,000889668;0,000162463004636666;0,02315305;0,000269798165670929;"57.28_NA_10"
"455";208;"N";"Cranberry litter";1,927;2,298;0,372;1,883;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,632;0,72172;0,0502;0,96413591;NA;NA;NA;0,95340056;0,0135899876;0,000945266;0,000256645997302377;0,01073535;0,000124412666757116;"57.28_NA_10"
"456";209;"N";"Cranberry litter";1,917;2,281;0,365;1,867;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,95913261;NA;NA;NA;NA;NA;NA;0,000293651105599132;NA;NA;"57.28_NA_10"
"457";210;"N";"Cranberry litter";1,923;2,287;0,364;1,657;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,96213459;NA;NA;NA;NA;NA;NA;0,00165419697958019;NA;NA;"57.28_NA_10"
"458";211;"N";"Cranberry litter";1,918;2,277;0,358;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;NA;NA;NA;0,95963294;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_NA_A9"
"459";212;"N";"Cranberry litter";1,928;2,295;0,365;1,944;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,55;0,71109;0,0322;0,96463624;NA;NA;NA;0,963252;0,0138235896;0,000625968;-9,18278872210381e-05;0,00138424000000004;1,59557455337803e-05;"68.71_NA_A9"
"460";213;"N";"Cranberry litter";1,896;2,255;0,359;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;NA;NA;NA;0,94862568;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_NA_A9"
"461";214;"N";"Cranberry litter";1,933;2,296;0,363;1,943;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,59;0,67757;0,0263;0,96713789;NA;NA;NA;0,9635337;0,0131651851;0,000511009;-5,73330018789901e-05;0,00360418999999979;4,14846339308744e-05;"68.71_NA_A9"
"462";215;"N";"Cranberry litter";1,926;2,286;0,361;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;NA;NA;NA;0,96363558;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_NA_A9"
"463";216;"N";"Cranberry litter";1,907;2,267;0,361;1,921;"Belanger";"A9";"Biologique";"Nproducteur";68,71;NA;49,147;0,71014;0,0354;0,95412931;NA;NA;NA;0,94411387;0,0136417894;0,000680034;-8,12728574237499e-05;0,01001544;0,0001172491496152;"68.71_NA_A9"
"464";319;"N";"Cranberry litter";1,922;2,288;0,366;1,961;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;48,296;0,71991;0,0357;0,96163426;NA;NA;NA;0,94708456;0,0141174351;0,000700077;-0,000223202629623429;0,0145497;0,000169397884041079;"0_1_9"
"465";320;"N";"Cranberry litter";1,935;2,294;0,359;1,812;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;48,3;0,72901;0,0377;0,96813855;NA;NA;NA;0,875196;0,0132096612;0,000683124;0,000729734654010639;0,0929425500000001;0,00112141495473735;"0_1_9"
"466";321;"N";"Cranberry litter";1,868;2,223;0,355;1,793;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;48,385;0,71672;0,0293;0,93461644;NA;NA;NA;0,86754305;0,0128507896;0,000525349;0,000455312724262835;0,0670733900000001;0,000827456495274222;"0_1_9"
"467";322;"N";"Cranberry litter";1,894;2,263;0,37;1,968;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;47,113;0,67243;0,0261;0,94762502;NA;NA;NA;0,92718384;0,0132334224;0,000513648;-0,000425853376290836;0,0204411800000001;0,000242300138068345;"0_2_9"
"468";323;"N";"Cranberry litter";1,897;2,257;0,359;2,086;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;49,434;0,77357;0,0341;0,94912601;NA;NA;NA;1,03119324;0,0161366702;0,000711326;-0,00105527406250782;-0,0820672299999999;-0,000921448049592009;"0_2_9"
"469";324;"N";"Cranberry litter";1,9;2,262;0,363;1,491;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;47,383;0,64291;0,0328;0,950627;NA;NA;NA;0,70648053;0,0095857881;0,000489048;0,00269340944877548;0,24414647;0,00329806803924378;"0_2_9"
"470";325;"N";"Cranberry litter";1,93;2,293;0,363;1,875;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;47,973;0,70499;0,0295;0,9656369;NA;NA;NA;0,89949375;0,0132185625;0,000553125;0,000321237149938;0,06614315;0,000788397539699289;"15_1_9"
"471";326;"N";"Cranberry litter";1,891;2,253;0,361;2,068;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;42,953;0,71392;0,0269;0,94612403;NA;NA;NA;0,88826804;0,0147638656;0,000556292;-0,000994179632998469;0,0578559899999999;0,000701112512243044;"15_1_9"
"472";327;"N";"Cranberry litter";1,91;2,276;0,366;1,734;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;49,192;0,72723;0,0285;0,9556303;NA;NA;NA;0,85298928;0,0126101682;0,00049419;0,00107413737444654;0,10264102;0,00126249047525501;"15_1_9"
"473";328;"N";"Cranberry litter";1,928;2,294;0,366;1,904;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;49,07;0,68838;0,0223;0,96463624;NA;NA;NA;0,9342928;0,0131067552;0,000424592;0,00013918066465756;0,0303434400000001;0,000355124416014434;"15_2_9"
"474";329;"N";"Cranberry litter";1,913;2,276;0,363;1,869;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;49,034;0,73059;0,0295;0,95713129;NA;NA;NA;0,91644546;0,0136547271;0,000551355;0,000258546244274334;0,04068583;0,000482644607430001;"15_2_9"
"475";330;"N";"Cranberry litter";1,939;2,301;0,362;1,925;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;48,334;0,71008;0,0315;0,97013987;NA;NA;NA;0,9304295;0,01366904;0,000606375;8,05156502307466e-05;0,03971037;0,000464377216487876;"15_2_9"
"476";331;"N";"Cranberry litter";1,929;2,294;0,361;1,96;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;47,902;0,74365;0,0259;0,96513657;NA;NA;NA;0,9388792;0,01457554;0,00050764;-0,000177141547987043;0,0262573700000001;0,000306475457849358;"30_1_9"
"477";332;"N";"Cranberry litter";1,909;2,278;0,369;1,822;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;47,69;0,81769;0,0339;0,95512997;NA;NA;NA;0,8689118;0,0148983118;0,000617658;0,000518274954509377;0,08621817;0,00105117557021824;"30_1_9"
"478";333;"N";"Cranberry litter";1,893;2,257;0,363;NA;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;NA;NA;NA;0,94712469;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_1_9"
"479";334;"N";"Cranberry litter";1,91;2,271;0,361;1,819;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;49,115;0,80071;0,0352;0,9556303;NA;NA;NA;0,89340185;0,0145649149;0,000640288;0,000542403805806148;0,06222845;0,000748162701329455;"30_2_9"
"480";335;"N";"Cranberry litter";1,912;2,278;0,366;NA;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;NA;NA;NA;0,95663096;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_2_9"
"481";336;"N";"Cranberry litter";1,927;2,295;0,368;NA;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;NA;NA;NA;0,96413591;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_2_9"
"482";337;"N";"Cranberry litter";1,935;2,297;0,361;1,731;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;47,781;0,74129;0,0312;0,96813855;NA;NA;NA;0,82708911;0,0128317299;0,000540072;0,00123786722541859;0,14104944;0,00174958630082055;"45_1_9"
"483";338;"N";"Cranberry litter";1,924;2,284;0,362;1,874;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;48,75;0,73854;0,0333;0,96263492;NA;NA;NA;0,913575;0,0138402396;0,000624042;0,000292568538080935;0,0490599199999999;0,000581208430081763;"45_1_9"
"484";339;"N";"Cranberry litter";1,937;2,301;0,364;1,884;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;49,084;0,77523;0,0249;0,96913921;NA;NA;NA;0,92474256;0,0146053332;0,000469116;0,000308257869674306;0,04439665;0,000521031998670187;"45_1_9"
"485";340;"N";"Cranberry litter";1,899;2,261;0,361;1,866;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;48,213;0,7071;0,0307;0,95012667;NA;NA;NA;0,89965458;0,013194486;0,000572862;0,000194781437833296;0,0504720899999999;0,000606493587709829;"45_2_9"
"486";341;"N";"Cranberry litter";1,904;2,268;0,362;1,893;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;49,776;0,73846;0,0326;0,95262832;NA;NA;NA;0,94225968;0,0139790478;0,000617118;6,43784904665306e-05;0,0103686399999999;0,00012159901900708;"45_2_9"
"487";342;"N";"Cranberry litter";1,885;2,252;0,365;NA;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;NA;NA;NA;0,94312205;NA;NA;NA;NA;NA;NA;NA;NA;NA;"45_2_9"
"488";343;"N";"Cranberry litter";1,917;2,286;0,368;1,83;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;49,694;0,82165;0,0434;0,95913261;NA;NA;NA;0,9094002;0,015036195;0,00079422;0,000516061080113087;0,0497324100000001;0,000591600927393026;"60_1_9"
"489";344;"N";"Cranberry litter";1,886;2,25;0,365;NA;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;NA;NA;NA;0,94362238;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_1_9"
"490";345;"N";"Cranberry litter";1,885;2,25;0,364;1,815;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;50,385;0,74599;0,0337;0,94312205;NA;NA;NA;0,91448775;0,0135397185;0,000611655;0,000420470590924;0,0286343000000001;0,000342573657496944;"60_1_9"
